seed,protocol,offered,legitimate,delivered,auth_drops,route_drops,pdr_percent,delay_ms,throughput_kbps,control_packets,overhead_ratio
1,AODV-like flooding,640,640,550,0,90,85.938,8.427,112.640,6604,12.007
2,AODV-like flooding,640,640,562,0,78,87.812,8.464,115.098,6266,11.149
3,AODV-like flooding,640,640,568,0,72,88.750,8.597,116.326,6571,11.569
4,AODV-like flooding,640,640,565,0,75,88.281,8.599,115.712,6730,11.912
5,AODV-like flooding,640,640,557,0,83,87.031,8.215,114.074,6480,11.634
6,AODV-like flooding,640,640,538,0,102,84.062,8.882,110.182,6784,12.610
7,AODV-like flooding,640,640,585,0,55,91.406,8.677,119.808,6784,11.597
8,AODV-like flooding,640,640,576,0,64,90.000,8.704,117.965,6545,11.363
9,AODV-like flooding,640,640,544,0,96,85.000,8.625,111.411,6715,12.344
10,AODV-like flooding,640,640,562,0,78,87.812,8.908,115.098,6813,12.123
1,Clustered routing,640,640,595,0,45,92.969,7.689,121.856,4235,7.118
2,Clustered routing,640,640,588,0,52,91.875,7.736,120.422,4076,6.932
3,Clustered routing,640,640,598,0,42,93.438,7.845,122.470,4165,6.965
4,Clustered routing,640,640,600,0,40,93.750,7.776,122.880,4261,7.102
5,Clustered routing,640,640,587,0,53,91.719,7.537,120.218,4229,7.204
6,Clustered routing,640,640,583,0,57,91.094,8.054,119.398,4254,7.297
7,Clustered routing,640,640,604,0,36,94.375,7.806,123.699,4261,7.055
8,Clustered routing,640,640,604,0,36,94.375,7.956,123.699,4235,7.012
9,Clustered routing,640,640,581,0,59,90.781,7.904,118.989,4298,7.398
10,Clustered routing,640,640,597,0,43,93.281,8.081,122.266,4283,7.174
1,Secure clustered routing,640,541,504,99,37,93.161,9.347,103.219,3593,7.129
2,Secure clustered routing,640,556,513,84,43,92.266,9.625,105.062,3635,7.086
3,Secure clustered routing,640,538,497,102,41,92.379,9.675,101.786,3607,7.258
4,Secure clustered routing,640,545,503,95,42,92.294,9.310,103.014,3664,7.284
5,Secure clustered routing,640,559,515,81,44,92.129,9.246,105.472,3739,7.260
6,Secure clustered routing,640,542,509,98,33,93.911,9.865,104.243,3675,7.220
7,Secure clustered routing,640,551,510,89,41,92.559,9.502,104.448,3675,7.206
8,Secure clustered routing,640,535,483,105,52,90.280,9.729,98.918,3589,7.431
9,Secure clustered routing,640,537,482,103,55,89.758,9.357,98.714,3619,7.508
10,Secure clustered routing,640,538,491,102,47,91.264,9.606,100.557,3624,7.381
